
2023-10-25T17:27:45,0.71,3305,6392,65535,2957,65535,2963,2943,65535,62.00,-2.00,503,22.30,831.47,39.47,,,,,,,,,,,,11,20,20,1917,538,116,18,1,0,,,,,,
2023-10-25T17:27:49,4.59,3048,5980,65535,2975,65535,2982,2968,65535,42.00,-10.00,502,21.91,831.47,39.27,,,,,,,,,,,,11,18,18,1983,549,114,14,0,0,,,,,,
2023-10-25T17:27:54,4.81,3204,6225,65535,2952,65535,2975,2951,65535,55.00,-4.00,499,21.69,831.48,39.28,,,,,,,,,,,,11,20,22,2130,587,127,17,1,1,,,,,,
2023-10-25T17:28:11,0.76,3083,6055,65535,2957,65535,2961,2943,65535,56.00,-10.00,489,22.24,831.46,38.64,,,,,,,,,,,,14,22,22,2568,707,144,8,1,1,,,,,,
2023-10-25T17:28:16,4.76,3075,5997,65535,2954,65534,2963,2944,65535,56.00,-4.00,489,21.85,831.47,38.74,,,,,,,,,,,,14,21,23,2616,718,141,8,1,1,,,,,,
2023-10-25T17:28:21,4.59,3581,5920,65535,2947,65535,2956,2941,65535,50.00,-5.00,488,21.69,831.48,39.99,,,,,,,,,,,,14,22,23,2703,730,141,11,1,0,,,,,,
2023-10-25T17:29:17,13.18,4386,6823,65534,2910,65535,2921,2900,65535,-455.00,-366.00,1090,22.57,831.50,40.93,,,,,,,,,,,,13618,12628,14903,14642,12602,55,61915,56849,59213,,,,,,
2023-10-25T17:29:22,14.75,4891,7467,65535,2909,65534,2925,2904,65535,-228.00,-218.00,1137,22.28,831.52,42.99,,,,,,,,,,,,13618,12628,14903,14642,12858,50,61915,56849,59213,,,,,,
2023-10-25T17:29:27,14.26,4567,6972,65535,2913,65534,2917,2901,65535,-119.00,-147.00,1200,22.11,831.51,43.61,,,,,,,,,,,,13618,12628,14903,14642,12858,55,61915,56849,59213,,,,,,
2023-10-25T17:29:31,14.38,4182,6412,65535,2917,65534,2925,2902,65535,-59.00,-102.00,1232,21.99,831.51,43.01,,,,,,,,,,,,13618,12628,14903,14642,13114,49,61915,56849,59213,,,,,,
2023-10-25T17:29:36,14.70,3879,5934,65535,2919,65535,2928,2902,65535,-18.00,-77.00,1245,21.91,831.50,42.05,,,,,,,,,,,,13618,12628,14903,14642,13114,54,61915,56849,59213,,,,,,
2023-10-25T17:29:41,14.72,3641,5528,65535,2914,65534,2923,2906,65535,9.00,-58.00,1273,21.84,831.49,41.23,,,,,,,,,,,,13618,12628,14903,14642,13370,49,61915,56849,59213,,,,,,
2023-10-25T17:29:46,14.16,3449,5183,65535,2914,65535,2936,2905,65535,19.00,-54.00,1277,21.79,831.48,40.62,,,,,,,,,,,,13618,12628,14903,14642,13370,54,61915,56849,59213,,,,,,
2023-10-25T17:29:51,14.70,3291,4888,65534,2917,65535,2924,2903,65535,38.00,-39.00,1245,21.75,831.48,40.15,,,,,,,,,,,,13618,12628,14903,14642,13626,49,61915,56849,59213,,,,,,
2023-10-25T17:29:55,14.77,3153,4633,65535,2913,65534,2917,2910,65534,46.00,-36.00,1181,21.71,831.48,39.82,,,,,,,,,,,,13618,12628,14903,14642,13626,53,61915,56849,59213,,,,,,
2023-10-25T17:30:00,14.72,3034,4418,65534,2917,65534,2931,2903,65535,44.00,-31.00,1138,21.68,831.48,39.54,,,,,,,,,,,,13618,12628,14903,12339,12346,48,61915,56849,59213,,,,,,
2023-10-25T17:30:05,14.28,2926,4228,65535,2916,65535,2928,2909,65535,50.00,-26.00,1048,21.65,831.48,39.33,,,,,,,,,,,,13618,12628,14903,12339,12346,53,61915,56849,59213,,,,,,
2023-10-25T17:30:10,14.77,2831,4061,65534,2915,65534,2923,2915,65535,56.00,-28.00,1005,21.62,831.48,39.16,,,,,,,,,,,,13618,12628,14903,12339,12602,48,61915,56849,59213,,,,,,
2023-10-25T17:30:15,14.30,2749,3916,65535,2913,65534,2935,2904,65535,59.00,-27.00,927,21.59,831.47,39.05,,,,,,,,,,,,13618,12628,14903,12339,12602,53,61915,56849,59213,,,,,,
2023-10-25T17:30:20,14.28,2673,3789,65535,2917,65535,2934,2904,65535,55.00,-29.00,861,21.57,831.47,38.99,,,,,,,,,,,,13618,12628,14903,12339,12858,48,61915,56849,59213,,,,,,
2023-10-25T17:30:24,14.21,2605,3679,65534,2917,65535,2919,2907,65535,59.00,-20.00,831,21.55,831.48,38.97,,,,,,,,,,,,13618,12628,14903,12339,12858,52,61915,56849,59213,,,,,,
2023-10-25T17:30:29,14.28,2541,3579,65535,2919,65535,2939,2903,65535,63.00,-22.00,778,21.53,831.48,38.96,,,,,,,,,,,,13618,12628,14903,12339,12858,57,61915,56849,59213,,,,,,
